capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage,snapshot_url
2024-07-31,17:41:46,Austria,1,13395,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Belgium,1,14805,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Bulgaria,0,11985,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Croatia,1,8460,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Cyprus,0,4230,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Czechia,0,14805,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Denmark,2,9870,0.02,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Estonia,0,4935,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Finland,1,9870,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,France,0,55695,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Germany,13,67680,0.02,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Greece,1,14805,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Hungary,0,14805,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Ireland,1,9165,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Italy,1,53580,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Latvia,0,5640,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Lithuania,0,7755,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Luxembourg,0,4230,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Malta,0,4230,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Netherlands,4,20445,0.02,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Poland,1,36660,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Portugal,0,14805,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Romania,0,23265,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Slovakia,1,9870,0.01,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Slovenia,0,5640,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Spain,0,41595,0.00,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
2024-07-31,17:41:46,Sweden,5,14805,0.03,https://web.archive.org/web/20240731174146/https://citizens-initiative.europa.eu/initiatives/details/2024/000007_en
