capture_date,GMT_capture_time,Country,Statements of Support,Threshold,Percentage
2025-06-23,20:38:13,Austria,10312,13395.0,76.98
2025-06-23,20:38:13,Belgium,14254,14805.0,96.28
2025-06-23,20:38:13,Bulgaria,4719,11985.0,39.37
2025-06-23,20:38:13,Croatia,4257,8460.0,50.32
2025-06-23,20:38:13,Cyprus,587,4230.0,13.88
2025-06-23,20:38:13,Czechia,7567,14805.0,51.11
2025-06-23,20:38:13,Denmark,12288,9870.0,124.5
2025-06-23,20:38:13,Estonia,3094,4935.0,62.7
2025-06-23,20:38:13,Finland,15721,9870.0,159.28
2025-06-23,20:38:13,France,50873,55695.0,91.34
2025-06-23,20:38:13,Germany,99695,67680.0,147.3
2025-06-23,20:38:13,Greece,5164,14805.0,34.88
2025-06-23,20:38:13,Hungary,10108,14805.0,68.27
2025-06-23,20:38:13,Ireland,10590,9165.0,115.55
2025-06-23,20:38:13,Italy,25522,53580.0,47.63
2025-06-23,20:38:13,Latvia,2734,5640.0,48.48
2025-06-23,20:38:13,Lithuania,5311,7755.0,68.48
2025-06-23,20:38:13,Luxembourg,971,4230.0,22.96
2025-06-23,20:38:13,Malta,546,4230.0,12.91
2025-06-23,20:38:13,Netherlands,27014,20445.0,132.13
2025-06-23,20:38:13,Poland,57218,36660.0,156.08
2025-06-23,20:38:13,Portugal,8638,14805.0,58.35
2025-06-23,20:38:13,Romania,12624,23265.0,54.26
2025-06-23,20:38:13,Slovakia,5077,9870.0,51.44
2025-06-23,20:38:13,Slovenia,2524,5640.0,44.75
2025-06-23,20:38:13,Spain,37350,41595.0,89.79
2025-06-23,20:38:13,Sweden,20755,14805.0,140.19
2025-06-23,20:38:13,Total number of signatories,455513,,
2025-06-24,20:10:43,Austria,10549,13395.0,78.75
2025-06-24,20:10:43,Belgium,14608,14805.0,98.67
2025-06-24,20:10:43,Bulgaria,4938,11985.0,41.2
2025-06-24,20:10:43,Croatia,4470,8460.0,52.84
2025-06-24,20:10:43,Cyprus,621,4230.0,14.68
2025-06-24,20:10:43,Czechia,7855,14805.0,53.06
2025-06-24,20:10:43,Denmark,12971,9870.0,131.42
2025-06-24,20:10:43,Estonia,3270,4935.0,66.26
2025-06-24,20:10:43,Finland,16712,9870.0,169.32
2025-06-24,20:10:43,France,52430,55695.0,94.14
2025-06-24,20:10:43,Germany,104058,67680.0,153.75
2025-06-24,20:10:43,Greece,5511,14805.0,37.22
2025-06-24,20:10:43,Hungary,10426,14805.0,70.42
2025-06-24,20:10:43,Ireland,11439,9165.0,124.81
2025-06-24,20:10:43,Italy,26087,53580.0,48.69
2025-06-24,20:10:43,Latvia,2875,5640.0,50.98
2025-06-24,20:10:43,Lithuania,5588,7755.0,72.06
2025-06-24,20:10:43,Luxembourg,1007,4230.0,23.81
2025-06-24,20:10:43,Malta,583,4230.0,13.78
2025-06-24,20:10:43,Netherlands,28510,20445.0,139.45
2025-06-24,20:10:43,Poland,58426,36660.0,159.37
